id_centro_poblado,nombre_centro_poblado,municipio,departamento
5411012,PORVENIR,LIBORINA,ANTIOQUIA
5411013,PROVINCIAL,LIBORINA,ANTIOQUIA
5425000,MACEO,MACEO,ANTIOQUIA
5425001,LA SUSANA,MACEO,ANTIOQUIA
5425003,LA FLORESTA,MACEO,ANTIOQUIA
5425005,SAN JOSÉ DEL NUS (JOSÉ DE NUESTRA SEÑORA),MACEO,ANTIOQUIA
5440000,MARINILLA,MARINILLA,ANTIOQUIA
5467000,MONTEBELLO,MONTEBELLO,ANTIOQUIA
5467001,SABALETAS,MONTEBELLO,ANTIOQUIA
5467006,LA GRANJA,MONTEBELLO,ANTIOQUIA
5467008,PIEDRA GALANA,MONTEBELLO,ANTIOQUIA
5475000,MURINDÓ,MURINDÓ,ANTIOQUIA
5475001,OPOGADO,MURINDÓ,ANTIOQUIA
5475005,JEDEGA,MURINDÓ,ANTIOQUIA
5475006,TADÍA,MURINDÓ,ANTIOQUIA
5475007,BEBARAMEÑO,MURINDÓ,ANTIOQUIA
5480000,MUTATÁ,MUTATÁ,ANTIOQUIA
5480001,BEJUQUILLO,MUTATÁ,ANTIOQUIA
5480002,PAVARANDOCITO,MUTATÁ,ANTIOQUIA
5480003,VILLA ARTEAGA,MUTATÁ,ANTIOQUIA
5480004,PAVARANDO GRANDE,MUTATÁ,ANTIOQUIA
5480006,CAUCHERAS,MUTATÁ,ANTIOQUIA
5483000,NARIÑO,NARIÑO,ANTIOQUIA
5483001,PUERTO VENUS,NARIÑO,ANTIOQUIA
5490000,NECOCLÍ,NECOCLÍ,ANTIOQUIA
5490001,EL TOTUMO,NECOCLÍ,ANTIOQUIA
5490002,MULATOS,NECOCLÍ,ANTIOQUIA
5490003,PUEBLO NUEVO,NECOCLÍ,ANTIOQUIA
5490004,ZAPATA,NECOCLÍ,ANTIOQUIA
